,img_ids,sim,random_sims,img_random_sims,objects
0,9480.jpg,"[0.7378838062286377, 0.26481395959854126]","[0.7378838062286377, 0.26481395959854126]",False,"['man', 'jeans', 'woman', 'woman', 'woman', 'man', 'man', 'woman', 'people', 'woman']"
1,3787.jpg,"[0.5977402925491333, 0.41478481888771057]","[0.5977402925491333, 0.41478481888771057]",False,"['eye', 'face', 'face']"
2,3154.jpg,"[0.5093231201171875, 0.5296098589897156]","[0.34292182326316833, 0.6884892582893372]",True,"['sign', 'smoke']"
3,996.jpg,"[0.715503990650177, 0.3472769558429718]","[0.7768197655677795, 0.2552485764026642]",True,"['eyes', 'face', 'man', 'mouth', 'man', 'mouth', 'sign', 'man', 'hair', 'man', 'wall']"
4,3845.jpg,"[0.7224432826042175, 0.342980295419693]","[0.7224432826042175, 0.342980295419693]",False,"['sign', 'letter', 'sign', 'sign', 'sign']"
5,10842.jpg,"[0.7234449982643127, 0.3421025276184082]","[0.7234449982643127, 0.3421025276184082]",False,"['sign', 'face', 'head', 'sign']"
6,1791.jpg,"[0.630518913269043, 0.3619369864463806]","[0.6010274887084961, 0.4045983552932739]",True,"['flower', 'sign']"
7,5494.jpg,"[0.5854453444480896, 0.441007524728775]","[0.45394250750541687, 0.554283618927002]",True,"['sign', 'sign', 'sign', 'flower', 'sign', 'sign', 'head']"
8,4313.jpg,"[0.6318416595458984, 0.3202451467514038]","[0.6318416595458984, 0.3202451467514038]",False,['man']
9,7774.jpg,"[0.6703033447265625, 0.3782373070716858]","[0.6703033447265625, 0.3782373070716858]",False,"['dog', 'shirt', 'mouth']"
10,1721.jpg,"[0.6739273071289062, 0.38482770323753357]","[0.7385411858558655, 0.3037029802799225]",True,"['man', 'hair', 'shirt', 'hair', 'woman', 'hair']"
11,3113.jpg,"[0.67491215467453, 0.344355970621109]","[0.7188985347747803, 0.32097116112709045]",True,"['hair', 'hair', 'face', 'shirt', 'man']"
12,4958.jpg,"[0.660326361656189, 0.458066463470459]","[0.7891427278518677, 0.20101125538349152]",True,"['picture', 'picture', 'picture', 'wall']"
13,10352.jpg,"[0.7573651075363159, 0.21376240253448486]","[0.5936552286148071, 0.48679786920547485]",True,"['pants', 'hair', 'woman', 'woman', 'pants', 'man']"
14,3259.jpg,"[0.7831636667251587, 0.23575568199157715]","[0.8612465858459473, 0.17275738716125488]",True,"['hair', 'hair', 'hair', 'hair', 'hand', 'sign', 'bag', 'man']"
15,2722.jpg,"[0.8210558891296387, 0.21861793100833893]","[0.7245168089866638, 0.29311394691467285]",True,"['hair', 'hair', 'hair', 'woman', 'picture', 'woman']"
16,7190.jpg,"[0.8580890893936157, 0.18261244893074036]","[0.8580890893936157, 0.18261244893074036]",False,"['eye', 'dog', 'dog', 'dog', 'dog', 'dog']"
17,9374.jpg,"[0.2626662254333496, 0.7209669351577759]","[0.2626662254333496, 0.7209669351577759]",False,"['eyes', 'face', 'mouth', 'tree', 'hair']"
18,30.jpg,"[0.6035193204879761, 0.42728519439697266]","[0.6350107789039612, 0.3900935649871826]",True,"['icing', 'icing', 'icing', 'icing', 'icing']"
19,7281.jpg,"[0.7119347453117371, 0.2944057583808899]","[0.6855157017707825, 0.3411368429660797]",True,"['television,tv', 'kite', 'wall', 'eye', 'window', 'eye', 'hair']"
20,2208.jpg,"[0.7657409906387329, 0.23971402645111084]","[0.7657409906387329, 0.23971402645111084]",False,"['sign', 'woman', 'woman', 'woman']"
21,4497.jpg,"[0.4493243992328644, 0.5255237221717834]","[0.4493243992328644, 0.5255237221717834]",False,"['hair', 'man', 'man', 'man', 'jeans', 'man', 'wall']"
22,837.jpg,"[0.850236713886261, 0.2032865434885025]","[0.6494231820106506, 0.33644089102745056]",True,[]
23,4946.jpg,"[0.6453646421432495, 0.3624773621559143]","[0.8980261087417603, 0.13833032548427582]",True,"['man', 'eyes', 'face', 'man', 'man', 'shirt', 'sign', 'shirt', 'sign', 'man', 'man', 'man', 'shirt', 'man', 'wall', 'man', 'sign', 'man']"
24,4578.jpg,"[0.6446231007575989, 0.38712653517723083]","[0.6481302380561829, 0.4169093072414398]",True,"['man', 'woman', 'television,tv', 'man', 'television,tv', 'sign']"
25,3561.jpg,"[0.7386989593505859, 0.35950297117233276]","[0.6841208338737488, 0.3582044541835785]",True,[]
26,1492.jpg,"[0.6189976334571838, 0.4028170108795166]","[0.6189976334571838, 0.4028170108795166]",False,"['hair', 'sign', 'hair', 'sign', 'woman', 'woman', 'sign', 'woman', 'couch']"
27,4549.jpg,"[0.8047868013381958, 0.18228349089622498]","[0.8047868013381958, 0.18228349089622498]",False,"['dog', 'dog', 'dog', 'dog', 'dog', 'dog', 'carpet']"
28,6722.jpg,"[0.6879470348358154, 0.37224850058555603]","[0.6879470348358154, 0.37224850058555603]",False,[]
29,11697.jpg,"[0.7555363774299622, 0.24134255945682526]","[0.7555363774299622, 0.24134255945682526]",False,"['nose', 'face', 'carpet', 'elephant', 'face']"
30,39.jpg,"[0.6360623836517334, 0.3706936836242676]","[0.6366356611251831, 0.3696885406970978]",True,"['sign', 'sign', 'sign']"
31,13252.jpg,"[0.7369272112846375, 0.3019697666168213]","[0.6417122483253479, 0.39101865887641907]",True,[]
32,7676.jpg,"[0.7617921233177185, 0.2316913604736328]","[0.8657305836677551, 0.14436878263950348]",True,"['sign', 'shirt']"
33,13096.jpg,"[0.625119149684906, 0.3633841276168823]","[0.6645486354827881, 0.3227385878562927]",True,"['eye', 'face', 'mouth']"
34,9371.jpg,"[0.8492422699928284, 0.17177633941173553]","[0.7967257499694824, 0.27160805463790894]",True,['hair']
35,8545.jpg,"[0.8012614250183105, 0.24212349951267242]","[0.8593817353248596, 0.14199797809123993]",True,"['man', 'man', 'hat', 'man', 'head', 'man', 'head']"
