,img_ids,sim,random_sims,img_random_sims,objects
0,9748.jpg,"[0.7625898718833923, 0.29556575417518616]","[0.7625898718833923, 0.29556575417518616]",False,"['kite', 'kite', 'woman', 'kite', 'woman']"
1,7215.jpg,"[0.8218114376068115, 0.17961131036281586]","[0.8218114376068115, 0.17961131036281586]",False,"['television,tv', 'television,tv', 'man', 'man', 'mouth', 'television,tv', 'face', 'glasses', 'man', 'man', 'television,tv', 'eyes', 'man', 'man', 'face']"
2,2028.jpg,"[0.38947054743766785, 0.5978235602378845]","[0.5834110975265503, 0.4292691648006439]",True,"['pants', 'pants', 'shoe']"
3,10677.jpg,"[0.5882388949394226, 0.42360711097717285]","[0.8065885305404663, 0.22425003349781036]",True,"['jeans', 'glasses', 'man', 'jeans', 'hair', 'man', 'jeans', 'man', 'face', 'woman', 'jeans', 'hair', 'man', 'hair', 'man', 'woman']"
4,860.jpg,"[0.7338340282440186, 0.32292768359184265]","[0.7338340282440186, 0.32292768359184265]",False,"['eye', 'face', 'face', 'face', 'face', 'eye', 'mouth', 'face', 'face', 'mouth', 'face']"
5,307.jpg,"[0.6314703226089478, 0.31750917434692383]","[0.6314703226089478, 0.31750917434692383]",False,"['dog', 'face', 'building', 'dog', 'building', 'man', 'dog', 'man', 'dog', 'hair']"
6,662.jpg,"[0.6775076985359192, 0.36478865146636963]","[0.7435705065727234, 0.2243303656578064]",True,"['man', 'head', 'man', 'man', 'man', 'man', 'man']"
7,1715.jpg,"[0.8533145189285278, 0.13690690696239471]","[0.7613803744316101, 0.27124473452568054]",True,"['window', 'window', 'woman']"
8,4038.jpg,"[0.756309449672699, 0.2182677537202835]","[0.756309449672699, 0.2182677537202835]",False,"['eye', 'eyes', 'sky', 'face', 'sky']"
9,10757.jpg,"[0.6647626757621765, 0.3700837194919586]","[0.6647626757621765, 0.3700837194919586]",False,"['door', 'door']"
10,7995.jpg,"[0.7848765254020691, 0.30219200253486633]","[0.6242130398750305, 0.35079386830329895]",True,"['hair', 'tie', 'man', 'man', 'suit', 'face', 'man', 'face', 'man', 'man', 'man', 'man']"
11,13147.jpg,"[0.8071256875991821, 0.19109487533569336]","[0.8051661252975464, 0.2904154062271118]",True,"['man', 'eyes', 'man', 'face', 'suit', 'man']"
12,10275.jpg,"[0.7999266982078552, 0.22196738421916962]","[0.6983031034469604, 0.2928200364112854]",True,[]
13,6928.jpg,"[0.41746941208839417, 0.6213078498840332]","[0.5414117574691772, 0.517815351486206]",True,"['face', 'hand']"
14,7113.jpg,"[0.6514646410942078, 0.3856196403503418]","[0.8529472351074219, 0.20784686505794525]",True,"['window', 'dog', 'window', 'window', 'window', 'dog', 'window', 'dog', 'window', 'window']"
15,3088.jpg,"[0.754645824432373, 0.3405434787273407]","[0.7329797744750977, 0.32578426599502563]",True,"['eye', 'eye', 'dog']"
16,4983.jpg,"[0.45832520723342896, 0.5315508842468262]","[0.6634305119514465, 0.33974137902259827]",True,"['sign', 'clock']"
17,5807.jpg,"[0.6534742116928101, 0.339352011680603]","[0.6235976815223694, 0.3530019223690033]",True,"['girl', 'girl', 'girl', 'girl', 'girl', 'face', 'woman']"
18,3809.jpg,"[0.7545502185821533, 0.2627493739128113]","[0.7545502185821533, 0.2627493739128113]",False,"['hair', 'hair', 'hair', 'woman', 'woman', 'hair', 'pants']"
19,7182.jpg,"[0.8220405578613281, 0.1727273017168045]","[0.8220405578613281, 0.1727273017168045]",False,"['table', 'man', 'table', 'pants', 'suit', 'man', 'wall', 'tie', 'chair', 'flowers', 'chair', 'flowers', 'head', 'man']"
20,9110.jpg,"[0.694130539894104, 0.3240009546279907]","[0.694130539894104, 0.3240009546279907]",False,"['pants', 'suit', 'pants', 'man', 'shoe', 'man', 'man', 'pants', 'suit']"
21,3103.jpg,"[0.8374952077865601, 0.18995968997478485]","[0.8374952077865601, 0.18995968997478485]",False,['window']
22,11515.jpg,"[0.9790770411491394, 0.028561800718307495]","[0.9790770411491394, 0.028561800718307495]",False,"['nose', 'nose', 'jeans']"
23,8948.jpg,"[0.6959034204483032, 0.310740202665329]","[0.6959034204483032, 0.310740202665329]",False,"['sky', 'bottle', 'bottle', 'knife', 'man', 'box']"
24,11050.jpg,"[0.8063340783119202, 0.15273348987102509]","[0.8063340783119202, 0.15273348987102509]",False,"['door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door', 'door']"
